City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Great Falls,US,46.67,overcast clouds,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
3,Katsuura,JP,46.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
5,Brigantine,US,37.45,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
6,Nagato,JP,45.19,broken clouds,34.3833,131.2,いそう庵
8,Caohai,CN,30.33,overcast clouds,26.8661,104.2841,Jinhua Hotel
21,Kodiak,US,24.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
24,Roma,US,28.96,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
26,Ushuaia,AR,49.66,few clouds,-54.8,-68.3,Albatross Hotel
27,Ketchikan,US,43.27,mist,55.3422,-131.6461,Snow's Cove Lodge
29,Torbay,CA,31.57,overcast clouds,47.6666,-52.7314,Gallows Cove
49,Nanortalik,GL,9.59,clear sky,60.1432,-45.2371,Hotel Kap Farvel
65,Longyearbyen,SJ,13.84,light snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
70,Putnok,HU,43.05,overcast clouds,48.3,20.4333,Havanna Apartmanház
79,Mackenzie,CA,37.62,overcast clouds,55.2999,-123.1698,Hilton Shop
80,Thompson,CA,14.16,overcast clouds,55.7435,-97.8558,Burntwood Hotel
83,Shingu,JP,41.99,overcast clouds,33.7333,135.9833,Shingu UI Hotel
84,Khatanga,RU,3.33,overcast clouds,71.9667,102.5,"""Khatanga"""
85,Klobuck,PL,43.66,overcast clouds,50.9008,18.9367,Wenecka
86,Jamestown,US,27.72,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
87,Panzhihua,CN,47.1,clear sky,26.5851,101.7128,Electric Power Hotel
92,Hofn,IS,30.54,overcast clouds,64.2539,-15.2082,Hótel Höfn
96,Fort-Shevchenko,KZ,36.03,broken clouds,44.5086,50.263,Oasis hotel Bautino
97,Murdochville,CA,20.28,snow,48.9583,-65.5006,Les Suites économique Murdochville
98,Mavrovi Anovi,MK,14.27,clear sky,41.7025,20.7564,Radika Mountain Resort
101,Yinchuan,CN,15.62,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
106,Lasa,IT,45.86,clear sky,46.6166,10.7002,Pension Feldgärtenhof
108,Korla,CN,22.14,overcast clouds,41.7597,86.1469,Gulisitan Hotel
110,Okha,RU,18.64,overcast clouds,53.5739,142.9478,"Gostinitsa ""Sakhalin-Sfera"""
112,Noyemberyan,AM,33.19,overcast clouds,41.1724,44.9992,Ապրելատեղ
126,Bethel,US,34.81,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
133,Grindavik,IS,30.67,light snow,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
144,Vrangel,RU,25.88,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
154,Yining,CN,36.82,light rain,29.0361,114.5636,Xiushui Hotel
158,Klaksvik,FO,36.52,broken clouds,62.2266,-6.589,Airbnb rooms
160,Komsomolskiy,UZ,36.75,scattered clouds,40.4272,71.7189,Ikathouse
165,Zhangjiakou,CN,24.08,light snow,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
166,Shimoda,JP,44.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
175,Yuanping,CN,28.26,clear sky,38.7153,112.7575,Yuanping Xinghe Guesthouse
179,Lanxi,CN,40.91,overcast clouds,29.2195,119.477,Shangri-La Hotel
180,Balkanabat,TM,43.7,scattered clouds,39.5108,54.3671,Nebitchi Hotel
