City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,61.38,97,14,8.34,few clouds
1,Great Falls,US,47.5002,-111.3008,46.67,37,100,16.11,overcast clouds
2,Kiama,AU,-34.6833,150.8667,85.57,54,0,1.01,clear sky
3,Katsuura,JP,35.1333,140.3,46.18,61,100,16.42,overcast clouds
4,Egvekinot,RU,66.3167,-179.1667,-12.08,73,0,15.41,clear sky
5,Brigantine,US,39.4101,-74.3646,37.45,70,0,8.05,clear sky
6,Nagato,JP,34.3833,131.2,45.19,57,56,8.1,broken clouds
7,Provideniya,RU,64.3833,-173.3,-2.09,60,0,15.66,clear sky
8,Caohai,CN,26.8661,104.2841,30.33,83,97,3.02,overcast clouds
9,Izhma,RU,65.0083,53.9113,8.2,92,92,10.58,overcast clouds
10,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,87,9.69,overcast clouds
11,Broken Hill,AU,-31.95,141.4333,82.11,42,9,8.05,clear sky
12,Punta Arenas,CL,-53.15,-70.9167,53.71,54,75,10.36,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,78.96,71,81,13.94,light rain
14,Mount Gambier,AU,-37.8333,140.7667,69.71,64,100,10.36,overcast clouds
15,Ancud,CL,-41.8697,-73.8203,59.43,75,4,6.06,clear sky
16,Puerto Ayora,EC,-0.7393,-90.3518,74.16,80,58,5.44,broken clouds
17,Trujillo Alto,PR,18.3547,-66.0074,76.62,81,40,9.22,scattered clouds
18,Mahebourg,MU,-20.4081,57.7,75.49,88,75,3.44,broken clouds
19,Carnarvon,AU,-24.8667,113.6333,80.67,47,0,17.27,clear sky
20,Hobart,AU,-42.8794,147.3294,78.26,52,20,9.22,few clouds
21,Kodiak,US,57.79,-152.4072,24.31,54,0,14.97,clear sky
22,Bilma,NE,18.6853,12.9164,63.54,10,0,6.67,clear sky
23,Avarua,CK,-21.2078,-159.775,78.85,89,20,9.22,few clouds
24,Roma,US,43.2128,-75.4557,28.96,74,100,10.36,overcast clouds
25,Vaini,TO,-21.2,-175.2,84.36,94,40,13.8,scattered clouds
26,Ushuaia,AR,-54.8,-68.3,49.66,57,20,11.5,few clouds
27,Ketchikan,US,55.3422,-131.6461,43.27,93,100,18.41,mist
28,Albany,US,42.6001,-73.9662,31.37,75,32,4.0,scattered clouds
29,Torbay,CA,47.6666,-52.7314,31.57,91,100,20.71,overcast clouds
30,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,53,99,13.8,overcast clouds
31,Lompoc,US,34.6391,-120.4579,80.91,53,0,11.5,clear sky
32,Iqaluit,CA,63.7506,-68.5145,-0.31,84,100,11.5,light snow
33,Araouane,ML,18.9048,-3.5265,65.71,11,0,11.34,clear sky
34,Abapo,BO,-18.8333,-63.4667,70.12,53,76,1.03,broken clouds
35,Port Alfred,ZA,-33.5906,26.891,69.96,90,27,13.65,scattered clouds
36,Leningradskiy,RU,69.3833,178.4167,-26.01,85,16,4.38,few clouds
37,Tezu,IN,27.9167,96.1667,54.59,63,91,2.95,overcast clouds
38,Charters Towers,AU,-20.1,146.2667,83.46,51,1,6.91,clear sky
39,Bathsheba,BB,13.2167,-59.5167,74.01,83,40,11.5,scattered clouds
40,Oranjemund,NA,-28.55,16.4333,63.82,94,22,5.17,few clouds
41,Saskylakh,RU,71.9167,114.0833,3.36,83,93,14.94,overcast clouds
42,Atuona,PF,-9.8,-139.0333,78.82,75,19,16.58,few clouds
43,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,75,16.11,broken clouds
44,Cherskiy,RU,68.75,161.3,-36.85,97,73,3.89,broken clouds
45,Yerbogachen,RU,61.2767,108.0108,-29.16,100,100,2.84,overcast clouds
46,Beloha,MG,-25.1667,45.05,73.94,88,81,9.84,broken clouds
47,Busselton,AU,-33.65,115.3333,67.05,57,0,6.31,clear sky
48,Tuktoyaktuk,CA,69.4541,-133.0374,-40.0,67,20,3.44,mist
49,Nanortalik,GL,60.1432,-45.2371,9.59,63,9,17.31,clear sky
50,Antofagasta,CL,-23.65,-70.4,65.86,81,3,5.35,clear sky
51,Gat,IL,31.61,34.7642,52.39,48,5,6.4,clear sky
52,Bluff,NZ,-46.6,168.3333,62.8,80,100,13.24,overcast clouds
53,Quatre Cocos,MU,-20.2078,57.7625,75.31,80,100,8.05,overcast clouds
54,Kavaratti,IN,10.5669,72.642,78.42,72,100,12.39,overcast clouds
55,Barrow,US,71.2906,-156.7887,-29.18,100,0,6.91,haze
56,Perth,AU,-31.9333,115.8333,72.66,62,0,12.66,clear sky
57,Ponta Do Sol,PT,32.6667,-17.1,69.01,54,100,10.94,overcast clouds
58,Biak,ID,-0.9131,122.8766,81.95,65,100,0.78,overcast clouds
59,Viedma,AR,-40.8135,-62.9967,71.1,65,12,11.74,few clouds
60,Jieshi,CN,22.8134,115.8257,55.94,80,53,15.14,broken clouds
61,Cape Town,ZA,-33.9258,18.4232,65.08,81,0,4.61,clear sky
62,Mataura,NZ,-46.1927,168.8643,62.47,69,100,5.3,overcast clouds
63,Alenquer,BR,-1.9417,-54.7383,77.34,93,100,1.28,overcast clouds
64,Hobyo,SO,5.3505,48.5268,75.6,73,0,20.09,clear sky
65,Longyearbyen,SJ,78.2186,15.6401,13.84,79,75,1.14,light snow
66,Yumen,CN,40.2833,97.2,16.95,47,0,4.07,clear sky
67,Hermanus,ZA,-34.4187,19.2345,63.9,83,0,6.55,clear sky
68,Qaanaaq,GL,77.484,-69.3632,-14.24,90,100,5.08,overcast clouds
69,Wum,CM,6.3833,10.0667,67.96,24,6,2.98,clear sky
70,Putnok,HU,48.3,20.4333,43.05,92,99,3.06,overcast clouds
71,Lebu,CL,-37.6167,-73.65,59.27,79,6,18.16,clear sky
72,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,broken clouds
73,Kapaa,US,22.0752,-159.319,79.2,66,40,10.36,scattered clouds
74,Vila Do Maio,CV,15.1333,-23.2167,71.55,80,0,9.51,clear sky
75,Dukat,RU,62.55,155.55,-11.7,74,56,2.26,broken clouds
76,Hithadhoo,MV,-0.6,73.0833,82.13,71,100,14.41,overcast clouds
77,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,77,84,6.33,broken clouds
78,Vanimo,PG,-2.6741,141.3028,84.87,69,32,4.38,scattered clouds
79,Mackenzie,CA,55.2999,-123.1698,37.62,70,100,9.22,overcast clouds
80,Thompson,CA,55.7435,-97.8558,14.16,73,100,13.8,overcast clouds
81,Yokadouma,CM,3.5167,15.05,65.88,33,100,1.43,overcast clouds
82,Georgetown,MY,5.4112,100.3354,78.73,92,40,3.44,scattered clouds
83,Shingu,JP,33.7333,135.9833,41.99,51,100,4.12,overcast clouds
84,Khatanga,RU,71.9667,102.5,3.33,85,99,14.65,overcast clouds
85,Klobuck,PL,50.9008,18.9367,43.66,94,100,13.8,overcast clouds
86,Jamestown,US,42.097,-79.2353,27.72,79,100,10.36,overcast clouds
87,Panzhihua,CN,26.5851,101.7128,47.1,61,6,1.45,clear sky
88,Tuatapere,NZ,-46.1333,167.6833,62.82,64,100,4.07,overcast clouds
89,Gao,ML,16.6362,1.637,66.97,9,0,11.61,clear sky
90,Rawson,AR,-43.3002,-65.1023,63.39,62,12,17.9,few clouds
91,Ovsyanka,RU,55.9575,92.5519,-16.78,100,100,2.08,overcast clouds
92,Hofn,IS,64.2539,-15.2082,30.54,61,100,16.62,overcast clouds
93,Hilo,US,19.7297,-155.09,76.24,79,75,8.05,broken clouds
94,Tiksi,RU,71.6872,128.8694,-18.78,98,58,9.35,broken clouds
95,Nouadhibou,MR,20.931,-17.0347,67.98,83,37,16.11,scattered clouds
96,Fort-Shevchenko,KZ,44.5086,50.263,36.03,66,59,20.18,broken clouds
97,Murdochville,CA,48.9583,-65.5006,20.28,95,100,9.4,snow
